Element,Initial_node,Final_node,Symmetry_group
1,1,2,1
2,2,3,1
3,3,4,1
4,4,1,1
5,2,6,2
6,3,7,2
7,4,8,2
8,1,5,2
9,6,7,3
10,7,8,3
11,8,5,3
12,5,6,3
13,2,5,4
14,3,6,4
15,4,7,4
16,1,8,4
